scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_711.png,344.1469902996297,103.9941602647653,415.3493881280481,250.31117558250423,380.1394111799291,103.99416026476527,368.40275219722275,112.60104351874992,387.9638505017333,114.16593138311077,365.2729764685011,168.15456270355992,389.52873836609416,175.19655809318368,361.360756807599,191.62788066897258,345.71187816399055,233.8798530067154,213.47885362549917,187.71566100807058,300.330130097526,269.87227388701484,290.940802911361,216.66608649874615,297.20035436880437,199.45231999077686,255.73082596324195,194.75765639769435,255.73082596324195,229.96763334581334,223.65062474384467,229.18518941363294,228.3452883369272,241.70429232851973,264.33770921722663,240.13940446415882
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_823.png,326.9332237916604,103.9941602647653,414.5669441958677,230.75007727799368,405.96006094188306,114.16593138311077,379.3569672477487,106.34149206130655,383.2691869086508,121.2079267727346,347.27676602835135,156.4179037208536,377.00963545120743,154.85301585649273,355.883649282336,175.97900202536414,340.2347706387276,219.0134182952874,315.19656480895407,202.5820957194985,457.6013604657909,306.64713869949463,386.3989626373725,227.62030154927197,370.75008399376406,219.01341829528735,411.43716846714597,210.40653504130267,374.6623036546662,258.9180588364889,430.2158228394761,248.74628771814338,416.13183206022853,266.7424981582931,312.8492330124128,308.21202656385555
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_87.png,201.74219464279284,237.00962873543716,502.9831085322554,334.8151202579898,470.1204633806777,264.3951663617518,450.5593650761671,236.2271848032566,487.334229888647,245.61651198942167,366.0554204006815,275.34938141227775,432.5631546360174,327.77312486836604,350.40654175707306,309.77691442821634,206.43685823587538,287.86848432716465,220.520849015123,172.06678236446214,356.6660932145164,236.22718480325665,352.7538735536143,217.44853043092655,334.7576631134646,188.49810494025093,318.3263405376758,193.9752124655139,309.7194572836911,208.05920324476148,288.5934711148197,222.14319402400912,276.07436819993296,213.53631077002444,228.3452883369272,212.7538668378441
labeled-data,0085,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_1056.png,366.83786433286195,211.9714229056636,540.5404172769156,273.0020496157364,382.4867429764704,252.6585073790455,404.3951730775222,231.53252121017408,405.1776170097026,218.2309743631069,452.1242529405279,258.13561490430845,470.1204633806777,238.57451659979785,483.42201022774486,243.26918019288036,534.2808658194723,250.31117558250418,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_381.png,307.37212548714984,212.75386683784404,538.9755294125548,288.6509282593448,532.7159779551114,242.48673626069996,511.58999178624003,221.36075009182855,504.5479963966162,235.44474087107614,438.8227060934608,234.6622969388958,452.9066968727084,270.6547178191952,423.95627138203275,260.4829467008497,324.58589199511914,261.2653906330302,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_42.png,355.1012053501556,215.10119863438524,561.6664034457871,290.2158161237057,553.0595201918024,276.1318253444581,538.1930854803744,235.44474087107614,523.3266507689464,245.6165119894216,483.42201022774486,220.57830615964815,463.07846799105386,262.83027849739096,452.9066968727084,242.48673626069996,366.83786433286195,245.61651198942172,115.67336210294643,189.2805488724315,296.4179104366239,326.20823700400524,125.8451332212919,210.4065350413029,145.40623152580244,199.45231999077697,157.9253344406892,198.66987605859651,153.23067084760666,256.57072703994777,197.0475310497103,236.22718480325676,184.52842813482357,272.2196056835562,290.940802911361,319.1662416143815
labeled-data,0085,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_469.png,207.2193021680558,206.49431538040074,488.1166738208274,273.78449354791684,222.08573687948382,256.5707270399477,248.6888305736182,237.79207266761756,250.25371843797905,225.27296975273083,319.8912284020366,260.48294670084977,334.7576631134646,213.53631077002444,355.1012053501556,239.35696053197836,459.16624833015175,241.70429232851956,125.06268928911147,170.50189450010134,241.64683518399437,284.73870859844294,134.45201647527654,184.58588527934893,156.36044657632837,195.54010032987486,168.87954949121513,184.58588527934893,148.53600725452415,242.48673626070018,185.31087206700397,233.0974090745351,172.79176915211724,263.6127224295716,218.1735172185817,269.0898299548345
labeled-data,0085,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_692.png,135.23446040745696,186.93321707589018,397.3531776878984,276.9142692766386,146.18867545798287,220.57830615964838,171.22688128775638,206.49431538040074,167.31466162685427,195.5401003298748,231.4750640656489,255.7882831077673,250.25371843797905,233.09740907453505,262.7728213528658,251.09361951468475,388.74629443391376,267.52494209047353,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_698.png,205.65441430369495,215.10119863438536,459.94869226233214,310.55935836039674,450.5593650761671,302.7349190385925,441.95248182218245,249.52873165032378,427.08604711075446,259.7005027686693,368.40275219722275,253.44095131122594,319.1087844698562,295.69292364896876,290.940802911361,271.4371617513757,243.21172304835522,286.30359646280374,127.41002108565276,204.14698358385948,250.25371843797905,334.8151202579899,135.23446040745696,222.92563795618963,176.70398881301932,208.84164717694205,174.35665701647807,196.32254426205526,193.1353113888082,277.6967132088192,243.99416698053562,243.26918019288053,236.95217159091186,288.65092825934505,169.66199342339553,326.20823700400535
labeled-data,0085,A_male_meet_with_the_same_cage_mate_side_view_4_2022-08-10_15-41-04_767.png,274.5094803355721,196.3225442620552,571.8381745641325,316.81890981784,564.0137352423283,225.2729697527306,511.58999178624003,193.19276853333332,495.1586692104512,204.9294275160397,425.5211592463936,243.2691801928804,438.8227060934608,316.8189098178401,403.61272914534175,294.9104797167883,297.98279830098477,277.69671320881906,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_1043.png,233.03995193000975,117.29570711183254,400.4829534166201,204.1469835838593,257.2957138276028,201.79965178731817,279.2041439286546,186.93321707589013,258.86060169196367,162.677455178297,329.28055558820165,195.54010032987475,312.06678908023235,143.89880080596686,347.27676602835135,168.93700663574037,363.70808860414024,121.2079267727346,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_1115.png,180.61620847392146,110.25371172220878,370.75008399376406,206.49431538040062,188.44064779572568,148.59346439904948,197.0475310497103,150.94079619559074,199.39486284625158,124.33770250145636,258.86060169196367,161.1125673139362,262.7728213528658,114.94837531529129,286.24613931827844,136.8568054163431,369.1851961294032,196.32254426205515,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_122.png,369.1851961294032,198.6698760585964,550.7121883952611,294.1280357846078,547.5824126665394,218.23097436310684,539.7579733447352,194.75765639769418,542.1053051412765,222.14319402400895,483.42201022774486,213.53631077002433,510.80754785405964,252.65850737904543,470.1204633806777,247.96384378596292,389.52873836609416,295.69292364896876,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_2.png,323.8034480629387,138.4216932807039,456.8189165336105,317.6013537500205,450.5593650761671,310.55935836039674,442.7349257543629,272.21960568355604,419.26160778895024,296.47536758114916,402.04784128098095,227.62030154927197,355.1012053501556,245.61651198942172,375.4447475868466,206.49431538040062,414.5669441958677,140.7690250772451,370.75008399376406,218.23097436310695,604.7008197157103,310.55935836039663,591.3992728686432,207.2767593125809,550.7121883952611,218.23097436310684,582.009945682478,239.3569605319782,496.723557074812,285.52115253062317,520.1968750402247,314.4715780212988,484.20445415992526,311.34180229257714,379.3569672477487,283.9562646662624
labeled-data,0085,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_204.png,276.85681213211336,132.94458575544098,412.2196123993264,248.74628771814338,302.67746189406733,172.84922629664248,329.28055558820165,168.93700663574037,330.0629995203821,137.6392493485235,361.360756807599,204.92942751603977,398.13562162007884,168.15456270355992,380.1394111799291,213.5363107700244,302.67746189406733,242.48673626070007,57.77251112159517,137.63924934852366,310.50190121587156,253.440951311226,65.59695044339941,161.11256731393632,107.8489227811422,183.02099741498813,113.32603030640514,132.16214182326064,166.53221769467385,211.9714229056637,175.92154488083892,171.28433843228174,203.3070825071537,199.4523199907769,305.807237622789,251.87606344686515
labeled-data,0085,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_498.png,142.27645579708076,114.94837531529134,387.9638505017333,211.18897897348313,151.66578298324583,150.15835226341034,191.57042352444736,154.07057192431245,190.0055356600865,121.20792677273471,260.4254895563245,195.54010032987475,268.24992887812874,157.20034765303404,290.15835897918055,164.24234304265786,373.0974157903053,129.81481002671921,100.02448345933797,55.48263646957929,243.21172304835522,228.40274548145254,136.0169043396374,61.74218792702263,105.50159098460094,64.87196365574434,140.71156793271993,77.39106657063107,118.02069389948768,166.58967483919923,159.49022230505005,161.89501124611667,161.05511016941088,189.28054887243144,238.5170594552727,216.6660864987462
labeled-data,0085,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_607.png,362.1432007397794,204.92942751603977,512.3724357184204,315.2540219534792,373.0974157903053,211.18897897348313,378.5745233155683,235.44474087107625,401.2653973488005,211.97142290566353,395.0058458913571,293.34559185242745,447.4295893474454,268.30738602265393,443.5173696865433,304.2998069029533,497.5060010069924,240.9218483963391,79.68094122264701,116.51326317965226,272.94459247121125,240.13940446415882,95.32981986625545,123.55525856927602,121.93291356038979,149.37590833122994,136.79934827181782,112.60104351875009,160.27266623723048,201.79965178731823,182.1810963382823,168.15456270356003,187.65820386354525,208.0592032447616,264.33770921722663,206.49431538040068
labeled-data,0085,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_653.png,282.3339196573763,143.89880080596686,508.4602160575183,257.35317097212794,500.6357767357141,246.39895592160207,481.857122363384,208.84164717694182,461.513580126693,236.2271848032566,431.780710703837,162.6774551782969,398.13562162007884,204.1469835838593,395.7882898235375,163.45989911047735,292.5056907757218,177.54388988972505,470.9029073128581,267.5249420904735,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_832.png,439.6051500256412,116.51326317965197,533.4984218872919,264.39516636175176,464.6433558554147,117.29570711183243,471.6853512450385,136.07436148416252,492.0288934817295,114.94837531529112,486.5517859564665,179.10877775408574,522.544206836766,155.63545978867307,510.80754785405964,190.06299280461167,470.9029073128581,264.3951663617518,517.8495432436835,247.96384378596292,638.3459087994685,303.5173629707728,543.6701930056373,300.38758724205115,565.5786231066892,312.90669015693794,549.9297444630807,273.7844935479168,611.7428151053341,295.6929236489686,597.6588243260865,240.92184839633904,616.4374786984166,249.52873165032366,635.9985770029272,233.87985300671522
labeled-data,0085,A_male_meet_with_the_same_cage_mate_top_view_1_2022-08-10_15-43-15_905.png,230.69262013346847,108.68882385784792,447.4295893474454,163.45989911047735,238.5170594552727,132.94458575544098,260.4254895563245,136.0743614841627,260.4254895563245,107.90637992566747,320.67367233421703,150.94079619559068,321.45611626639743,115.73081924747163,341.79965850308844,121.990370704915,438.04026216128034,150.94079619559056,184.52842813482357,112.60104351875003,371.53252792594446,196.3225442620551,225.2155126082055,121.20792677273465,193.1353113888082,121.99037070491511,222.86818081166425,130.59725395889973,212.69640969331877,186.93321707589013,243.21172304835522,154.85301585649285,254.16593809888116,191.62788066897264,365.2729764685011,191.62788066897258
